tahun,kategori,parameter,nilai
2018,populasi,laki_laki,145000
2018,populasi,perempuan,140000
2019,populasi,laki_laki,147000
2019,populasi,perempuan,142000
2020,populasi,laki_laki,150000
2020,populasi,perempuan,145000
2021,populasi,laki_laki,152000
2021,populasi,perempuan,147000
2022,populasi,laki_laki,154000
2022,populasi,perempuan,149000
2018,pdrb,pertanian_kehutanan_perikanan,1100000000
2018,pdrb,pertambangan_penggalian,750000000
2018,pdrb,industri_pengolahan,1900000000
2018,pdrb,pengadaan_listrik_gas,450000000
2018,pdrb,pengadaan_air_pengelolaan_sampah,200000000
2018,pdrb,konstruksi,1600000000
2018,pdrb,perdagangan_reparasi_mobil_motor,2900000000
2018,pdrb,transportasi_pergudangan,800000000
2018,pdrb,penyediaan_akomodasi_makan_minum,500000000
2018,pdrb,informasi_komunikasi,650000000
2018,pdrb,jasa_keuangan_asuransi,950000000
2018,pdrb,real_estate,1400000000
2018,pdrb,jasa_perusahaan,350000000
2018,pdrb,administrasi_pemerintahan_jaminan_sosial,600000000
2018,pdrb,jasa_pendidikan,700000000
2018,pdrb,jasa_kesehatan_kegiatan_sosial,550000000
2018,pdrb,jasa_lainnya,300000000
2018,pdrb,produk_domestik_regional_bruto,13500000000
2018,pdrb,pdrb_tanpa_migas,12800000000
2018,pdrb,pdrb_non_pemerintahan,12300000000
2019,pdrb,pertanian_kehutanan_perikanan,1180000000
2019,pdrb,pertambangan_penggalian,820000000
2019,pdrb,industri_pengolahan,2000000000
2019,pdrb,konstruksi,1700000000
2019,pdrb,perdagangan_reparasi_mobil_motor,3050000000
2019,pdrb,transportasi_pergudangan,850000000
2019,pdrb,informasi_komunikasi,700000000
2019,pdrb,jasa_keuangan_asuransi,1000000000
2019,pdrb,real_estate,1500000000
2019,pdrb,jasa_pendidikan,750000000
2019,pdrb,jasa_kesehatan_kegiatan_sosial,600000000
2019,pdrb,produk_domestik_regional_bruto,14200000000
2020,pdrb,pertanian_kehutanan_perikanan,1250000000
2020,pdrb,pertambangan_penggalian,850000000
2020,pdrb,industri_pengolahan,2100000000
2020,pdrb,konstruksi,1800000000
2020,pdrb,perdagangan_reparasi_mobil_motor,3200000000
2020,pdrb,transportasi_pergudangan,900000000
2020,pdrb,informasi_komunikasi,750000000
2020,pdrb,jasa_keuangan_asuransi,1100000000
2020,pdrb,real_estate,1600000000
2020,pdrb,jasa_pendidikan,800000000
2020,pdrb,jasa_kesehatan_kegiatan_sosial,650000000
2020,pdrb,produk_domestik_regional_bruto,15000000000
2021,pdrb,pertanian_kehutanan_perikanan,1300000000
2021,pdrb,pertambangan_penggalian,880000000
2021,pdrb,industri_pengolahan,2200000000
2021,pdrb,konstruksi,1900000000
2021,pdrb,perdagangan_reparasi_mobil_motor,3350000000
2021,pdrb,transportasi_pergudangan,950000000
2021,pdrb,informasi_komunikasi,800000000
2021,pdrb,jasa_keuangan_asuransi,1150000000
2021,pdrb,real_estate,1700000000
2021,pdrb,jasa_pendidikan,850000000
2021,pdrb,jasa_kesehatan_kegiatan_sosial,700000000
2021,pdrb,produk_domestik_regional_bruto,15800000000
2018,pertanian,lahan_panen_padi,14800
2019,pertanian,lahan_panen_padi,15200
2020,pertanian,lahan_panen_padi,15500
2021,pertanian,lahan_panen_padi,15800
2022,pertanian,lahan_panen_padi,16100
2018,peternakan,laju_sapi,4.8
2018,peternakan,laju_kerbau,1.8
2018,peternakan,laju_kambing,7.9
2018,peternakan,laju_domba,5.8
2018,peternakan,laju_ayam,11.5
2018,peternakan,laju_bebek,8.2
2018,peternakan,laju_angsa,3.1
2019,peternakan,laju_sapi,5.0
2019,peternakan,laju_kerbau,1.9
2019,peternakan,laju_kambing,8.2
2019,peternakan,laju_domba,6.0
2019,peternakan,laju_ayam,12.1
2019,peternakan,laju_bebek,8.5
2019,peternakan,laju_angsa,3.3
2020,peternakan,laju_sapi,5.2
2020,peternakan,laju_kerbau,2.1
2020,peternakan,laju_kambing,8.5
2020,peternakan,laju_domba,6.3
2020,peternakan,laju_ayam,12.8
2020,peternakan,laju_bebek,8.8
2020,peternakan,laju_angsa,3.5
2021,peternakan,laju_sapi,5.5
2021,peternakan,laju_kerbau,2.3
2021,peternakan,laju_kambing,8.8
2021,peternakan,laju_domba,6.6
2021,peternakan,laju_ayam,13.2
2021,peternakan,laju_bebek,9.1
2021,peternakan,laju_angsa,3.7
2018,perikanan,laju_perubahan_area,3.8
2019,perikanan,laju_perubahan_area,4.0
2020,perikanan,laju_perubahan_area,4.2
2021,perikanan,laju_perubahan_area,4.5
2022,perikanan,laju_perubahan_area,4.8
